nombre,central,tecnologia_etiqueta,nombre_agente,tecnologia,tecnologia_maquinas,potencia_instalada_mw,provincia,departamento,aglomeracion,sistema,pah,id_renovar,resolucion_renovables,fuente,geojson
Parque Eólico Los Teros,TEROEO,Eólica,P.EOLICO LOS TEROS - MATER,EOL,EOLICA,122.56,BUENOS AIRES,Azul,,Interconectado MEM,,MAT-EOL-27,,cammesa,"{""type"":""Point"",""coordinates"":[-59.7599233754837,-37.1294819731042]}"
C.T. PACUCA BIO ENERGIA. ROQUE PEREZ. BSAS.,PACU,Biogas,BIOGAS CTBG PACUCA BIO ENERGÍA,BIOG,BIOGAS,1,BUENOS AIRES,Roque Pérez,,Interconectado MEM,,BG-507,,cammesa,"{""type"":""Point"",""coordinates"":[-59.4423582001664,-35.3831814705644]}"
C.T. General Alvear,GALV,Biogas,CTBG GENERAL ALVEAR,BIOG,BIOGAS,1,BUENOS AIRES,General Alvear,,Interconectado MEM,,BG-524,,cammesa,"{""type"":""Point"",""coordinates"":[-60.1062275282178,-36.0162412371168]}"
P.E. Miramar,MIRAEO,Eólica,P.EOLICO MIRAMAR - RENOVAR 1.5,EOL,EOLICA,98.6,BUENOS AIRES,General Alvarado,,Interconectado MEM,,EOL-1029,,cammesa,"{""type"":""Point"",""coordinates"":[-58.0482313132942,-38.2260783183553]}"
COG Terminal 6,TER6,Térmica,TERMINAL 6 COGENERACION PUERTO,CC,TURBO GAS - TURBO VAPOR,380.04,SANTA FE,San Lorenzo,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-60.7501066795749,-32.6647018974483]}"
PE Vient Secano,VSECEO,Eólica,P.EOLICO VIENTOS DEL SECANO,EOL,EOLICA,50,BUENOS AIRES,Villarino,,Interconectado MEM,,EOL-17,,cammesa,"{""type"":""Point"",""coordinates"":[-62.567883460649,-39.215128932142]}"
C.T. BIOMASA UNITAN.  Puerto Tirol,TIRO,Biomasa,CTBM.BIOMASA UNITAN SEISMEGA,BIOM,BIOMASA,6.7,CHACO,Libertad,GRAN RESISTENCIA,Interconectado MEM,,BM-409,,cammesa,"{""type"":""Point"",""coordinates"":[-59.087242513861,-27.3712818634023]}"
H Guaym. Slto 6,GUA6HI,Hidroeléctrica (Menor a 50 Mw),PAH CAN.CQUE GUAYMALLEN SALTO6,HI<50,HIDRAULICA <=50,1.2,MENDOZA,Luján de Cuyo,GRAN MENDOZA,Interconectado MEM,Si,PAH-02,,cammesa,"{""type"":""Point"",""coordinates"":[-68.8957640854241,-33.0322535283627]}"
C.T. VENADO TUERTO. BG. SEEDS ENERGY,VTBG,Biogas,BIOGAS CTBG VENADO TUERTO,BIOG,BIOGAS,2.1,SANTA FE,General López,,Interconectado MEM,,BG-523,,cammesa,"{""type"":""Point"",""coordinates"":[-62.0407803764715,-33.695623183261]}"
C.T. TIGONBU,TIGO,Biogas,BIOGAS CTBG TIGONBU,BIOG,BIOGAS,2,SAN LUIS,Gobernador Dupuy,,Interconectado MEM,,BG-519,,cammesa,"{""type"":""Point"",""coordinates"":[-65.2672130939131,-34.8164030187171]}"
P.S. CAUCHARI 1,CAU1FV,Fotovoltaica,PQUE SOLAR FTV CAUCHARI 1,SOL,FOTOVOLTAICA,100,JUJUY,Susques,,Interconectado MEM,,SFV-38,,cammesa,"{""type"":""Point"",""coordinates"":[-66.7078434623938,-24.1056963714523]}"
P.S. CAUCHARI 2,CAU2FV,Fotovoltaica,PQUE SOLAR FTV CAUCHARI 2,SOL,FOTOVOLTAICA,100,JUJUY,Susques,,Interconectado MEM,,SFV-39,,cammesa,"{""type"":""Point"",""coordinates"":[-66.7132736076105,-24.097109348712]}"
P.S. CAUCHARI 3,CAU3FV,Fotovoltaica,PQUE SOLAR FTV CAUCHARI 3,SOL,FOTOVOLTAICA,100,JUJUY,Susques,,Interconectado MEM,,SFV-40,,cammesa,"{""type"":""Point"",""coordinates"":[-66.7196400225702,-24.0862082254414]}"
MALASPINA1 ENAR,MAL1EO,Eólica,C.EOLICA MALASPINA I - ENARSA,EOL,EOLICA,50.4,CHUBUT,Florentino Ameghino,,Interconectado MEM,,EOL-202-02,,cammesa,"{""type"":""Point"",""coordinates"":[-67.0618142515055,-44.9682830558879]}"
H Guaym. Slto 8,GUA8HI,Hidroeléctrica (Menor a 50 Mw),PAH CAN.CQUE GUAYMALLEN SALTO8,HI<50,HIDRAULICA <=50,1.2,MENDOZA,Luján de Cuyo,GRAN MENDOZA,Interconectado MEM,Si,PAH-01,,cammesa,"{""type"":""Point"",""coordinates"":[-68.8826272456176,-33.0213971397068]}"
P.A.H. SALTO 7 CANAL CACIQUE GUAYMALLEN,GUA7HI,Hidroeléctrica (Menor a 50 Mw),PAH CALBUCO SALTO7,HI<50,HIDRAULICA <=50,1.2,MENDOZA,Luján de Cuyo,GRAN MENDOZA,Interconectado MEM,Si,PAH-702,,cammesa,"{""type"":""Point"",""coordinates"":[-68.8873640897713,-33.0257683099387]}"
L.BLANC 3 ENARS,LOM3EO,Eólica,P.EOLICO LOMA BLANCA 3,EOL,EOLICA,51.2,CHUBUT,Rawson,,Interconectado MEM,,EOL-202-10,,cammesa,"{""type"":""Point"",""coordinates"":[-65.1585983806914,-43.0377239763828]}"
L.BLANC 1 ENARS,LOM1EO,Eólica,P.EOLICO LOMA BLANCA 1,EOL,EOLICA,51.2,CHUBUT,Rawson,,Interconectado MEM,,EOL-202-08,,cammesa,"{""type"":""Point"",""coordinates"":[-65.1232191171783,-43.0050803437145]}"
PE LOS HERCULES,LHEREO,Eólica,P.EOLICO LOS HERCULES,EOL,EOLICA,97.2,SANTA CRUZ,Deseado,,Interconectado MEM,,EOL-05,,cammesa,"{""type"":""Point"",""coordinates"":[-68.3852591472237,-46.6310858594343]}"
C.T. BIOGENERADORA SANTA CATALINA. CORDOBA,SCAB,Biogas,CTBG BIO. SANTA CATALINA,BIOG,BIOGAS,2,CORDOBA,Río Cuarto,,Interconectado MEM,,BG-517,,cammesa,"{""type"":""Point"",""coordinates"":[-64.4471360384236,-33.220014501829]}"
C.T. LA ESCONDIDA.  INDUNOR S.A.,ESCO,Biomasa,CT BIOMASA LA ESCONDIDA -CHACO,BIOM,BIOMASA,10,CHACO,General Donovan,,Interconectado MEM,,BM-414,,cammesa,"{""type"":""Point"",""coordinates"":[-59.4426591159961,-27.1067602711927]}"
C.T. Manantiales Behr II,,Térmica,,TG,,,CHUBUT,Escalante,,Interconectada no MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-67.8071595921762,-45.6614539984206]}"
PE L. Blanca 6,LOM6EO,Eólica,P.EOLICO LOMA BLANCA 6,EOL,EOLICA,102.4,CHUBUT,Rawson,,Interconectado MEM,,EOL-1027,,cammesa,"{""type"":""Point"",""coordinates"":[-65.355199455473,-42.904735174551]}"
C.T. AB ENERGIA. 25 DE MAYO . LA PAMPA,ABBG,Biogas,BIOGAS CTBG AB ENERGÍA,BIOG,BIOGAS,2,LA PAMPA,Puelén,,Interconectado MEM,,BG-508,,cammesa,"{""type"":""Point"",""coordinates"":[-67.7155905357597,-37.9019846108887]}"
Parque Eólico  Los Teros II (MATER),TER2EO,Eólica,P.EOLICO LOS TEROS - MATER,EOL,EOLICA,52.39,BUENOS AIRES,Azul,,Interconectado MEM,,MAT-EOL-53,,cammesa,"{""type"":""Point"",""coordinates"":[-59.8143353598614,-37.1382188692163]}"
P.S. TIERRA SANTA,TSANFV,Fotovoltaica,AGRITUR SAN LUIS S.A.,SOL,FOTOVOLTAICA,0.45,SAN LUIS,Junín,,Interconectado MEM,,MAT-SFV-70,,cammesa,"{""type"":""Point"",""coordinates"":[-65.6822270189294,-32.0845077246563]}"
C.T. RESENER I,RES1,Biogas,BIOGAS CT RESENER SA,BIOG,BIOGAS,0.8,BUENOS AIRES,Villarino,,Interconectado MEM,,BG-510,,cammesa,"{""type"":""Point"",""coordinates"":[-62.4657989367735,-38.6960780972732]}"
C.T. ARREBEEF ENERGIA,ABEF,Biogas,BIOGAS CTBG ARRE BEEF SA,BIOG,BIOGAS,1.5,BUENOS AIRES,Ramallo,PEREZ MILLAN,Interconectado MEM,,BG-501,,cammesa,"{""type"":""Point"",""coordinates"":[-60.0908747582094,-33.7625030426961]}"
P.S. GUAÑIZUIL II A,GZ2AFV,Fotovoltaica,PQUE FOTOV. COR. SOL. GUAÑI.II,SOL,FOTOVOLTAICA,100,SAN JUAN,Iglesia,,Interconectado MEM,,SFV-275,,cammesa,"{""type"":""Point"",""coordinates"":[-69.2907260022031,-30.3676407047721]}"
P.A.H. CRUZ DEL EJE,CREJHI,Hidroeléctrica (Menor a 50 Mw),PAH EPEC CRUZ DEL EJE - Ren2,HI<50,HIDRAULICA <=50,0.5,CORDOBA,Cruz del Eje,CRUZ DEL EJE,Interconectado MEM,Si,PAH-708,,cammesa,"{""type"":""Point"",""coordinates"":[-64.79606111,-30.74999167]}"
P.A.H. BOCA DEL RIO,BRIOHI,Hidroeléctrica (Menor a 50 Mw),PAH EPEC BOCA DEL RIO - Ren2,HI<50,HIDRAULICA <=50,0.5,CORDOBA,San Javier,,Interconectado MEM,Si,PAH-709,,cammesa,"{""type"":""Point"",""coordinates"":[-65.11294167,-31.91350278]}"
CT LOMA DE LA LATA MOTORES,LDLM,Térmica,C.T. LOMA DE LA LATA S.A.,DI,MOTOR DIESEL,15,NEUQUEN,Confluencia,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-68.6063782589938,-38.5109744397023]}"
C.T. BIOGAS SAN MARTIN NORTE III D,SM3D,Biogas,CTBRS SAN MARTÍN NORTE III-D,BIOG,BIOGAS,5.1,BUENOS AIRES,San Miguel,GRAN BUENOS AIRES,Interconectado MEM,,BRS-3600,,cammesa,"{""type"":""Point"",""coordinates"":[-58.6270592489391,-34.5208950911117]}"
P.S. ALTIPLANO I,ALT1FV,Fotovoltaica,PQUE SOLAR ALTIPLANO I,SOL,FOTOVOLTAICA,100,SALTA,Los Andes,,Interconectado MEM,,SFV-259,,cammesa,"{""type"":""Point"",""coordinates"":[-66.8926478942646,-24.1496082204311]}"
P.S. La Puna,LPUNFV,Fotovoltaica,PQUE SOLAR LA PUNA SOLAR,SOL,FOTOVOLTAICA,100,SALTA,Los Andes,,Interconectado MEM,,SFV-13,,cammesa,"{""type"":""Point"",""coordinates"":[-66.9030687577589,-24.1488372316815]}"
PE CAÑADON LEON,LEONEO,Eólica,P.EOLICO CAÑADON LEÓN REN 2,EOL,EOLICA,101.52,SANTA CRUZ,Deseado,,Interconectado MEM,,EOL-035,,cammesa,"{""type"":""Point"",""coordinates"":[-67.6442107612038,-46.5881144659283]}"
P.E. Cañadon Leon (ampliacion),LEO1EO,Eólica,P.EOLICO CAÑADON LEÓN MATER,EOL,EOLICA,21.15,SANTA CRUZ,Deseado,,Interconectado MEM,,EOL-035,,cammesa,"{""type"":""Point"",""coordinates"":[-67.6431174626149,-46.5886869250569]}"
P.A.H. SALTO 11 CANAL CACIQUE GUAYMALLEN,GU11HI,Hidroeléctrica (Menor a 50 Mw),PAH SALTO 11,HI<50,HIDRAULICA <=50,,MENDOZA,Luján de Cuyo,GRAN MENDOZA,Interconectado MEM,Si,PAH-715,,cammesa,"{""type"":""Point"",""coordinates"":[-68.868673778682,-33.0052775328885]}"
P.S.F.V TINOGASTA TOZZI,TINZFV,Fotovoltaica,PQUE SOLAR TINOGASTA TOZZI RE3,SOL,FOTOVOLTAICA,,CATAMARCA,Tinogasta,,Interconectado MEM,,SFV-3207,,cammesa,"{""type"":""Point"",""coordinates"":[-67.5310360747972,-28.0877902117262]}"
SALTO D LA LOMA,SALOHI,Hidroeléctrica (Menor a 50 Mw),C.H. SALTO DE LA LOMA,HI<50,MICRO HIDRAULIC,0.55,SAN JUAN,Jáchal,,Interconectado MEM,Si,PAH-705,,cammesa,"{""type"":""Point"",""coordinates"":[-68.7712438951684,-30.2209421980594]}"
P.S.F.V HELIOS SANTA ROSA PV,HESRFV,Fotovoltaica,PQUE SOLAR HELIOS SANTA ROSA,SOL,FOTOVOLTAICA,,MENDOZA,Santa Rosa,,Interconectado MEM,,SFV-3202,,cammesa,"{""type"":""Point"",""coordinates"":[-68.1666486958736,-33.214771624805]}"
C.T. POLLOS SAN MATEO,PSMA,Biogas,CTBG POLLOS SAN MATEO,BIOG,BIOGAS,,CORDOBA,Colón,,Interconectado MEM,,BG-502,,cammesa,"{""type"":""Point"",""coordinates"":[-64.1300312867959,-31.1674947698214]}"
P.S. SIERRAS DEL ULLUM,SULLFV,Fotovoltaica,GENNEIA RENOVABLES MATER,SOL,FOTOVOLTAICA,,SAN JUAN,Ullum,,Interconectado MEM,,SFV-224,,cammesa,"{""type"":""Point"",""coordinates"":[-68.6662249617509,-31.3774193339685]}"
Puerto Madryn,PMAD,Térmica,C.T. PATAGONICAS SA,TG,TURBO GAS,42,CHUBUT,Biedma,PUERTO MADRYN,Interconectado MEM,,,,DNP,"{""type"":""Point"",""coordinates"":[-65.104775,-42.706863]}"
Necochea Eolico,NECOEO,Eólica,SEA ENERGY PARQUE EOLICO,EOL,EOLICA,0.25,BUENOS AIRES,Necochea,QUEQUEN,Interconectado MEM,,108-EOL-01,,DNP,"{""type"":""Point"",""coordinates"":[-58.790598,-38.604519]}"
Goya,GOYA,Térmica,ELECTROPATAGONIA-C.RIV-C.COMB.,TG,TURBO GAS,,CORRIENTES,Goya,,Interconectado MEM,,,,DNP,"{""type"":""Point"",""coordinates"":[-59.22767,-29.13876]}"
CT ZAPPALORTO - APR ENERGY,ZAPA,Térmica,CT ZAPPALORTO - APR ENERGY,TG,TURBO GAS,109.04,BUENOS AIRES,Merlo,GRAN BUENOS AIRES,Interconectado MEM,,,,DIE,"{""type"":""Point"",""coordinates"":[-58.7416926404079,-34.723577642225]}"
CTBG BIO ENERGÍA YANQUETRUZ II,YAN2,Biogas,CTBG BIO ENERGÍA YANQUETRUZ II,BIOG,BIOGAS,0.8,SAN LUIS,General Pedernera,,Interconectado MEM,,BG-518,,DIE,"{""type"":""Point"",""coordinates"":[-65.5686123605628,-33.3777624608798]}"
PAH TRIPLE SALTO UNIFICADO,TSAUHI,Hidroeléctrica (Menor a 50 Mw),PAH TRIPLE SALTO UNIFICADO,HI<50,HIDRAULICA <=50,0.51,MENDOZA,Junín,,Interconectado MEM,Si,PAH-04,,DIE,"{""type"":""Point"",""coordinates"":[-68.5171769792477,-33.1100447967894]}"
PTA FOTOVOLTAICA S.JUAN I-EPSE,SJU2FV,Fotovoltaica,PTA FOTOVOLTAICA S.JUAN I-EPSE,SOL,FOTOVOLTAICA,0.48,SAN JUAN,Ullum,,Interconectado MEM,,,,DIE,"{""type"":""Point"",""coordinates"":[-68.6740031665857,-31.3885349607742]}"
C.H. SAN GUILLERMO SIEyE,SGUIHI,Hidroeléctrica (Menor a 50 Mw),C.H. SAN GUILLERMO SIEyE,HI<50,MICRO HIDRAULIC,0.1,SAN JUAN,Calingasta,,Interconectado MEM,Si,SPT-PAH-20,,DIE,"{""type"":""Point"",""coordinates"":[-69.5169920911156,-31.6980857312319]}"
MOLINO JUAN SEMINO SA,SEMIHI,Hidroeléctrica (Menor a 50 Mw),MOLINO JUAN SEMINO SA,HI<50,HIDRAULICA <=50,,SANTA FE,Iriondo,,Interconectado MEM,Si,SPT-PAH-34,,DIE,"{""type"":""Point"",""coordinates"":[-61.172608911427,-32.8542020082222]}"
PAH SALTO DE LA LOMA,SAL2HI,Hidroeléctrica (Menor a 50 Mw),PAH SALTO DE LA LOMA,HI<50,HIDRAULICA <=50,,SAN JUAN,Jáchal,,Interconectado MEM,Si,MAT-PAH-03,,DIE,"{""type"":""Point"",""coordinates"":[-68.7711027727892,-30.2210799670565]}"
PAPEL MISIONERO S.A.,PMIS,Biomasa,PAPEL MISIONERO S.A.,BIOM,BIOMASA,,MISIONES,Libertador General San Martín,,Interconectado MEM,,,,DIE,"{""type"":""Point"",""coordinates"":[-55.1234693359932,-26.9339182036282]}"
YPF CT MANANTIALES BEHR II AG,MBE2,Térmica,YPF CT MANANTIALES BEHR II AG,DI,MOTOR DIESEL,,CHUBUT,Escalante,,Interconectado MEM,,,,DIE,"{""type"":""Point"",""coordinates"":[-67.8097063556531,-45.6603197672963]}"
C.FOTOV. CAÑADA HONDA 3-ENARSA,HON3FV,Fotovoltaica,C.FOTOV. CAÑADA HONDA 3-ENARSA,SOL,FOTOVOLTAICA,,SAN JUAN,Sarmiento,,Interconectado MEM,,,,DIE,"{""type"":""Point"",""coordinates"":[-68.5395921085715,-31.9852804402191]}"
CT BIOMASA GARRUCHOS,GARR,Biomasa,CT BIOMASA GARRUCHOS,BIOM,BIOMASA,36,CORRIENTES,Santo Tomé,,Interconectado MEM,,108-BM-01,,DIE,"{""type"":""Point"",""coordinates"":[-56.0014537206704,-27.9470742473961]}"
PQUE FOTOV.LA CUMBRE 3,CUM3FV,Fotovoltaica,PQUE FOTOV.LA CUMBRE 3,SOL,FOTOVOLTAICA,,SAN LUIS,Juan Martín de Pueyrredón,,Interconectado MEM,,,,DIE,"{""type"":""Point"",""coordinates"":[-66.1225198240022,-33.3521947592897]}"
EPEC GENERACION,CEJEHI,Hidroeléctrica (Menor a 50 Mw),EPEC GENERACION,HI<50,HIDRAULICA <=50,1.1,CORDOBA,Cruz del Eje,,Interconectado MEM,Si,SPT-PAH-02,,DIE,"{""type"":""Point"",""coordinates"":[-64.7538586965485,-30.763632478227]}"
CT BIOMASA MM BIOENERGÍA,CAZU,Biomasa,CT BIOMASA MM BIOENERGÍA,BIOM,BIOMASA,3,CORDOBA,Cruz del Eje,,Interconectado MEM,,BM-417,,DIE,"{""type"":""Point"",""coordinates"":[-64.7538493079512,-30.7636647451741]}"
P.SOLAR ALTO TINOG3 BGOADROGUE,ATI3FV,Fotovoltaica,P.SOLAR ALTO TINOG3 BGOADROGUE,SOL,FOTOVOLTAICA,,CATAMARCA,Tinogasta,,Interconectado MEM,,,,DIE,"{""type"":""Point"",""coordinates"":[-67.5307312617366,-28.0868237993744]}"
P.SOLAR ALTO TINOG2 BINGO KING,ATI2FV,Fotovoltaica,P.SOLAR ALTO TINOG2 BINGO KING,SOL,FOTOVOLTAICA,,CATAMARCA,Tinogasta,,Interconectado MEM,,,,DIE,"{""type"":""Point"",""coordinates"":[-67.5536480546915,-28.0335774445753]}"
PQUE SOLAR ALTOS DE TINOGASTA,ATI1FV,Fotovoltaica,PQUE SOLAR ALTOS DE TINOGASTA,SOL,FOTOVOLTAICA,,CATAMARCA,Tinogasta,,Interconectado MEM,,,,DIE,"{""type"":""Point"",""coordinates"":[-67.5539055467472,-28.0368350912103]}"
CT ACONCAGUA ENERGÍA AUTOGENER,ACON,Térmica,CT ACONCAGUA ENERGÍA AUTOGENER,DI,MOTOR DIESEL,,MENDOZA,Tupungato,,Interconectado MEM,,,,DIE,"{""type"":""Point"",""coordinates"":[-68.9829806919147,-33.3406517698345]}"
CTBG GENERAL VILLEGAS Ren 2,VGAB,Biogas,CTBG GENERAL VILLEGAS Ren 2,BIOG,BIOGAS,,BUENOS AIRES,General Villegas,,Interconectado MEM,,BG-513,,DIE,"{""type"":""Point"",""coordinates"":[-63.2271454907174,-35.1735233447966]}"
ENERGIA AGRO S.A.U,SPEV,Biogas,ENERGIA AGRO S.A.U,BIOG,BIOGAS,1.415,SANTA FE,General López,,Interconectado MEM,,,,DIE,"{""type"":""Point"",""coordinates"":[-62.048082297927,-34.236966738946]}"
BIOGAS CTBG ENRECO,GUAT,Biogas,BIOGAS CTBG ENRECO,BIOG,BIOGAS,2,CORDOBA,Marcos Juárez,,Interconectado MEM,,BG-511,,DIE,"{""type"":""Point"",""coordinates"":[-62.5412749074393,-33.3682808879831]}"
EPEC GENERACION,CALEHI,Hidroeléctrica (Menor a 50 Mw),EPEC GENERACION,HI<50,HIDRAULICA <=50,4.4,CORDOBA,Colón,GRAN CÓRDOBA,Interconectado MEM,Si,PAH-3702,,DIE,"{""type"":""Point"",""coordinates"":[-64.3331359680609,-31.3524184061754]}"
CHORRIACA,,Térmica,,DI,,,NEUQUEN,Loncopué,CHORRIACA,Aislado,,,,DIE,"{""type"":""Point"",""coordinates"":[-70.100244,-37.936251]}"
CHACHARRAMENDI,,Térmica,,DI,,,LA PAMPA,Utracán,CHACHARRAMENDI,Aislado,,,,DIE,"{""type"":""Point"",""coordinates"":[-65.648055556,-37.330555556]}"
SAN ANTONIO DE LOS COBRES,,Térmica,,DI,,,SALTA,Los Andes,SAN ANTONIO DE LOS COBRES,Aislado,,,,DIE,"{""type"":""Point"",""coordinates"":[-66.318888,-24.2144441]}"
CENTRAL TÉRMICA PIEDRA NEGRA,,Térmica,,DI,,,JUJUY,Yavi,,Aislado,,,,DIE,"{""type"":""Point"",""coordinates"":[-65.630138,-22.2006081]}"
LA HUMADA,,Térmica,,DI,,,LA PAMPA,Chical Co,LA HUMADA,Aislado,,,,DIE,"{""type"":""Point"",""coordinates"":[-68.0151,-36.349444444]}"
ARBOL SOLO,,Térmica,,DI,,,LA PAMPA,Chalileo,,Aislado,,,,DIE,"{""type"":""Point"",""coordinates"":[-66.477222222,-36.6363888891]}"
COMANDANCIA FRÍAS,,Térmica,,DI,,,CHACO,General Güemes,COMANDANCIA FRÍAS,Aislado,,,,DIE,"{""type"":""Point"",""coordinates"":[-62.23751,-24.563611111]}"
COLONIA LA PASTORIL,,Térmica,,DI,,,LA PAMPA,Chalileo,,Aislado,,,,DIE,"{""type"":""Point"",""coordinates"":[-66.227222222,-36.373333333]}"
BERNARDO DE IRIGOYEN,,Térmica,,DI,,,MISIONES,General Manuel Belgrano,BERNARDO DE IRIGOYEN,Aislado,,,,DIE,"{""type"":""Point"",""coordinates"":[-53.646951,-26.254491]}"
VILLA TRAFUL,,Térmica,,DI,,,NEUQUEN,Los Lagos,,Aislado,,,,DIE,"{""type"":""Point"",""coordinates"":[-71.397585,-40.6549891]}"
LAS COLORADAS,,Térmica,,DI,,,NEUQUEN,Catán Lil,LAS COLORADAS,Aislado,,,,DIE,"{""type"":""Point"",""coordinates"":[-70.596456,-39.5573981]}"
IRUYA,,Térmica,,DI,,,SALTA,Iruya,IRUYA,Aislado,,,,DIE,"{""type"":""Point"",""coordinates"":[-65.21856,-22.79281]}"
SANTA ISABEL,,Térmica,,DI,,,LA PAMPA,Chalileo,COLONIA LA PASTORIL-SANTA ISABEL,Aislado,,,,DIE,"{""type"":""Point"",""coordinates"":[-66.938055556,-36.2313888891]}"
EL CAIN,,Térmica,,DI,,,RIO NEGRO,25 de Mayo,,Aislado,,,,DIE,"{""type"":""Point"",""coordinates"":[-68.351181,-41.8324861]}"
CERRO POLICÍA,,Térmica,,DI,,,RIO NEGRO,El Cuy,CERRO POLICIA,Aislado,,,,DIE,"{""type"":""Point"",""coordinates"":[-68.490153,-39.726433]}"
EL CUY,,Térmica,,DI,,,RIO NEGRO,El Cuy,EL CUY,Aislado,,,,DIE,"{""type"":""Point"",""coordinates"":[-68.343136,-39.925151]}"
CHAPALCO,,Térmica,,DI,,,LA PAMPA,Toay,,Aislado,,,,DIE,"{""type"":""Point"",""coordinates"":[-64.781469,-36.8719581]}"
ANTOFAGASTA DE LA SIERRA,,Térmica,,DI,,,CATAMARCA,Antofagasta de la Sierra,ANTOFAGASTA DE LA SIERRA,Aislado,,,,DIE,"{""type"":""Point"",""coordinates"":[-67.407936,-26.0594831]}"
SANTA ROSA DE LOS PASTOS GRANDES,,Térmica,,DI,,,SALTA,Los Andes,,Aislado,,,,DIE,"{""type"":""Point"",""coordinates"":[-66.699815,-24.4500771]}"
LA TABLADA,,Térmica,,DI,,,MISIONES,Capital,POSADAS,Aislado,,,,DIE,"{""type"":""Point"",""coordinates"":[-55.90967,-27.418391]}"
VILLA LA ANGOSTURA,,Térmica,,DI,,,NEUQUEN,Los Lagos,VILLA LA ANGOSTURA,Aislado,,,,DIE,"{""type"":""Point"",""coordinates"":[-71.638059,-40.7570941]}"
JAGUEL DEL MONTE,,Térmica,,DI,,,LA PAMPA,Loventué,,Aislado,,,,DIE,"{""type"":""Point"",""coordinates"":[-65.783611111,-36.6811111111]}"
EL PEÑON,,Térmica,,DI,,,CATAMARCA,Antofagasta de la Sierra,EL PEÑON,Aislado,,,,DIE,"{""type"":""Point"",""coordinates"":[-67.263281,-26.478347]}"
BIOGAS CTBG BIO DE SOUZA,SOUZ,Biogas,BIOGAS CTBG BIO DE SOUZA,BIOG,BIOGAS,,BUENOS AIRES,Coronel Suárez,,Interconectado MEM,,BG-3501,,CAMMESA,"{""type"":""Point"",""coordinates"":[-61.8718923953964,-37.6587768851569]}"
P.EOLICO PAMPA ENERGIA,PEP3EO,Eólica,P.EOLICO PAMPA ENERGIA,EOL,EOLICA,,BUENOS AIRES,Coronel de Marina Leonardo Rosales,,Interconectado MEM,,MAT-EOL-15,,CAMMESA,"{""type"":""Point"",""coordinates"":[-61.7643685749989,-38.7668783894563]}"
BIOGAS CTBG BIO-EITTOR ENERGY,EITO,Biogas,BIOGAS CTBG BIO-EITTOR ENERGY,BIOG,BIOGAS,,BUENOS AIRES,Zárate,,Interconectado MEM,,BG-3503,,CAMMESA,"{""type"":""Point"",""coordinates"":[-59.0747595493643,-34.0734647397055]}"
PQUE SOLAR CURA BROCHERO MATER,BROCFV,Fotovoltaica,PQUE SOLAR CURA BROCHERO MATER,SOL,FOTOVOLTAICA,,CORDOBA,San Alberto,,Interconectado MEM,,MAT-SFV-10,,CAMMESA,"{""type"":""Point"",""coordinates"":[-65.0384486209955,-31.7214710522026]}"
PQUE SOLAR CURA BROCHERO REN2,BRO2FV,Fotovoltaica,P.SOLAR CURA BROCHERO AMPL SAU,SOL,FOTOVOLTAICA,,CORDOBA,San Alberto,,Interconectado MEM,,SFV-301,,CAMMESA,"{""type"":""Point"",""coordinates"":[-65.0356629178626,-31.7229908978638]}"
CT SALTA - ENARSA,SLTA,Térmica,CT SALTA - ENARSA,DI,MOTOR DIESEL,,SALTA,,,Móvil,,,,DIE,
360 ENERGY FV,HON4FV,Fotovoltaica,360 ENERGY FV,SOL,FOTOVOLTAICA,,SAN JUAN,Sarmiento,,Interconectado MEM,,,,DIE,"{""type"":""Point"",""coordinates"":[-68.5406327916374,-31.9905549806304]}"
PQUE SOLAR ZONDA,ZONDFV,Fotovoltaica,PQUE SOLAR ZONDA,SOL,FOTOVOLTAICA,,SAN JUAN,Iglesia,,Interconectado MEM,,,,DIE,"{""type"":""Point"",""coordinates"":[-69.2349641387804,-30.4461916619621]}"
CTBRS SAN MARTÍN NORTE 3-D I,S3D1,Biogas,CTBRS SAN MARTÍN NORTE 3-D I,BIOG,BIOGAS,,BUENOS AIRES,San Miguel,GRAN BUENOS AIRES,Interconectado MEM,,,,DIE,"{""type"":""Point"",""coordinates"":[-58.622861,-34.521541]}"
GENERACION MEDITERRANEA AUTOGE,MMAG,Térmica,GENERACION MEDITERRANEA AUTOGE - GEN.MEDITERRANEA (CONT.PLUS),TG,TURBO GAS,,CORDOBA,Río Cuarto,RIO CUARTO,Interconectado MEM,,,,DIE,"{""type"":""Point"",""coordinates"":[-64.3653278420791,-33.1600888514712]}"
P.EOLICO MATACO 3 PICOS MATER,MAT3EO,Eólica,P.EOLICO 3 PICOS MATER,EOL,EOLICA,,BUENOS AIRES,Tornquist,,Interconectado MEM,,,,DIE,"{""type"":""Point"",""coordinates"":[-62.2831182745276,-38.3186864048666]}"
CTBRS SAN MARTÍN NORTE 3GC,S3GC,Biogas,CTBRS SAN MARTÍN NORTE 3GC,BIOG,BIOGAS,,BUENOS AIRES,San Miguel,GRAN BUENOS AIRES,Interconectado MEM,,120,RenMDI - 2023,DIE,"{""type"":""Point"",""coordinates"":[-58.6271286386811,-34.5209678571669]}"
